,price,type,address,postcode,number_bedrooms,lat,lng,formatted_address
12105,1250000,3 bedroom terraced house for sale,"Orbain Road, London, SW6",SW6,3.0,51.4797646,-0.2099628,"Orbain Rd, London SW6, UK"
12106,1250000,2 bedroom apartment for sale,"Columbia Gardens, Fulham, SW6",SW6,2.0,51.4866428,-0.1951586,"Columbia Gdns, London SW6, UK"
12107,1100000,2 bedroom flat for sale,"Redcliffe Square, Chelsea, London, SW10",SW10,2.0,51.487797,-0.1884377,"Redcliffe Square, London SW10, UK"
12108,1250000,2 bedroom flat for sale,"Collingham Place, Earl's Court, SW5",SW5,2.0,51.4940138,-0.1893911,"Collingham Pl, London SW5, UK"
12109,1250000,3 bedroom penthouse for sale,"Cyclops Wharf, Isle Of Dogs E14",E14,3.0,51.4914987,-0.0250279,"Homer Dr, London E14 3UQ, UK"
12110,1250000,2 bedroom flat for sale,"Talbot Road, Notting Hill, London, W2",W2,2.0,51.5172841,-0.1968297,"Talbot Rd, London W2, UK"
12111,1250000,4 bedroom maisonette for sale,"Epirus Road, London, SW6",SW6,4.0,51.481761,-0.2010275,"Epirus Rd, London SW6, UK"
12112,1250000,2 bedroom apartment for sale,"Warwick Square, London, SW1V",SW1V,2.0,51.4906128,-0.1408198,"Warwick Square, Pimlico, London SW1, UK"
12113,1250000,2 bedroom flat for sale,"Leinster Gardens, W2",W2,2.0,51.5138483,-0.1837729,"Leinster Gardens, London W2, UK"
12114,1250000,2 bedroom apartment for sale,"Faulkner House, Tierney Lane, London, UK, W6",W6,2.0,51.4872018,-0.2255922,"Parr's Wy., London W6 9AE, UK"
12115,1250000,4 bedroom terraced house for sale,"Pellant Road, SW6",SW6,4.0,51.4824062,-0.2100874,"Pellant Rd, London SW6, UK"
12116,1250000,2 bedroom apartment for sale,"Embankment Gardens, Chelsea SW3",SW3,2.0,51.4849826,-0.1579797,"Embankment Gardens, London SW3, UK"
12117,1250000,3 bedroom flat for sale,"Barnet, London, N11",N11,3.0,51.6175062,-0.1385339,"London N11, UK"
12118,1250000,2 bedroom apartment for sale,"Eccleston Square, London, SW1V",SW1V,2.0,51.4915825,-0.1453318,"Eccleston Square, Pimlico, London SW1V, UK"
