,price,type,address,url,agent_url,postcode,full_postcode,number_bedrooms,search_date
900,486995.0,3 bedroom apartment for sale,"Southbrae Drive,
Glasgow,
G13",http://www.rightmove.co.uk/properties/124432742#/?channel=RES_BUY,http://www.rightmove.co.uk/developer/branch/Cala-Homes/Jordanhill-Park-221582.html,G13,,3.0,2022-06-29 07:22:53.795003
901,,Land for sale,"Firbank Ave, Torrance, Glagsow",http://www.rightmove.co.uk/properties/120949247#/?channel=COM_BUY,http://www.rightmove.co.uk/estate-agents/agent/CODA-Estates-Ltd/Glasgow-78938.html,,,,2022-06-29 07:22:53.795003
902,150000.0,2 bedroom flat for sale,"Hamilton Road, Mount Vernon, G32",http://www.rightmove.co.uk/properties/123419180#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Century-21/Cambuslang-69877.html,G32,,2.0,2022-06-29 07:22:53.795003
903,150000.0,2 bedroom apartment for sale,"Pollokshaws Road, Flat 4/1, Strathbungo, Glasgow, G41 2PF",http://www.rightmove.co.uk/properties/85554360#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Clyde-Property/Shawlands-13751.html,G41,G41 2PF,2.0,2022-06-29 07:22:53.795003
904,150000.0,2 bedroom flat for sale,"38 Annette Street, 3/1, Southside, G42 8EQ",http://www.rightmove.co.uk/properties/124442669#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Keller-Williams/Scotland-209498.html,G42,G42 8EQ,2.0,2022-06-29 07:22:53.795003
905,150000.0,2 bedroom flat for sale,"Bothwell Street, Glasgow, G2",http://www.rightmove.co.uk/properties/124327748#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Slater-Hogg-and-Howison/City-Centre-Glasgow-4835.html,G2,,2.0,2022-06-29 07:22:53.795003
906,150000.0,1 bedroom flat for sale,"Cleveden Drive, Kelvindale",http://www.rightmove.co.uk/properties/124177496#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Yates-Hellier-Ltd/Glasgow-238118.html,,,1.0,2022-06-29 07:22:53.795003
907,150000.0,2 bedroom flat for sale,"Boydstone Path, Glasgow, G43",http://www.rightmove.co.uk/properties/85695906#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Countrywide/Shawlands-495.html,G43,,2.0,2022-06-29 07:22:53.795003
908,150000.0,Land for sale,"Land, Lindseybeg Road",http://www.rightmove.co.uk/properties/81046083#/?channel=COM_BUY,http://www.rightmove.co.uk/estate-agents/agent/R-and-G-Estate-Agents-Limited/Kirkintilloch-35135.html,,,,2022-06-29 07:22:53.795003
909,150000.0,3 bedroom semi-detached house for sale,"Kincardine Drive, Bishopbriggs, Glasgow",http://www.rightmove.co.uk/properties/123820373#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Allen-and-Harris/Bishopbriggs-Glasgow-1744.html,,,3.0,2022-06-29 07:22:53.795003
910,150000.0,2 bedroom flat for sale,"Old Castle Gardens, Glasgow, G44",http://www.rightmove.co.uk/properties/123876008#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Countrywide/Shawlands-495.html,G44,,2.0,2022-06-29 07:22:53.795003
911,150000.0,2 bedroom terraced house for sale,"Virtuewell Grove, Cambuslang, Glasgow, G72",http://www.rightmove.co.uk/properties/124318079#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Slater-Hogg-and-Howison/Burnside-4830.html,G72,,2.0,2022-06-29 07:22:53.795003
912,150000.0,2 bedroom semi-detached house for sale,"Ravenscraig Drive, Glasgow, G53",http://www.rightmove.co.uk/properties/85652667#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Purplebricks/covering-Glasgow-202916.html,G53,,2.0,2022-06-29 07:22:53.795003
913,150000.0,1 bedroom flat for sale,"108 5/2 Mavisbank Gardens, Glasgow, G51 1HR",http://www.rightmove.co.uk/properties/111305669#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/McEwan-Fraser-Legal/Edinburgh-68041.html,G51,G51 1HR,1.0,2022-06-29 07:22:53.795003
914,150000.0,4 bedroom terraced house for sale,"Salisbury, Calderwood, East Kilbride, G74",http://www.rightmove.co.uk/properties/85416459#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Joyce-Heeps-Homes/East-Kilbride-51354.html,G74,,4.0,2022-06-29 07:22:53.795003
915,149999.0,2 bedroom flat for sale,"Queen Street, Kirkintilloch, Glasgow, G66 1JL",http://www.rightmove.co.uk/properties/96576955#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Town-and-Country-Estate-Agents/Glasgow-71794.html,G66,G66 1JL,2.0,2022-06-29 07:22:53.795003
916,149995.0,2 bedroom duplex for sale,"Flat 17, 2, Melrose Avenue, Rutherglen, Glasgow, G73 3BU",http://www.rightmove.co.uk/properties/123667115#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Pacitti-Jones/Burnside-58910.html,G73,G73 3BU,2.0,2022-06-29 07:22:53.795003
917,149995.0,2 bedroom flat for sale,"3/5, 2 Hanson Park, Dennistoun, Glasgow, G31 2HA",http://www.rightmove.co.uk/properties/124378820#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Pacitti-Jones/Dennistoun-238520.html,G31,G31 2HA,2.0,2022-06-29 07:22:53.795003
918,149995.0,2 bedroom apartment for sale,"0/2, 113 Cook Street, Tradeston, Glasgow, G5 8JQ",http://www.rightmove.co.uk/properties/118643462#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/McEwan-Fraser-Legal/Edinburgh-68041.html,G5,G5 8JQ,2.0,2022-06-29 07:22:53.795003
919,149995.0,2 bedroom flat for sale,"Northwood Close, Glasgow",http://www.rightmove.co.uk/properties/124107377#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Patch-Property/Renfrewshire-15769.html,,,2.0,2022-06-29 07:22:53.795003
920,149995.0,2 bedroom flat for sale,"3/2, 132, Medwyn Street, Whiteinch, Glasgow, G14 9QL",http://www.rightmove.co.uk/properties/124270592#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Pacitti-Jones/Glasgow-77348.html,G14,G14 9QL,2.0,2022-06-29 07:22:53.795003
921,149950.0,2 bedroom apartment for sale,"Hanson Park, Dennistoun, Glasgow G31 2HB",http://www.rightmove.co.uk/properties/123934079#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Mitchells-Sales-and-Letting/Glasgow-212810.html,G31,G31 2HB,2.0,2022-06-29 07:22:53.795003
922,149000.0,2 bedroom flat for sale,"3/2, 37 Carnoustie Street, Glasgow, G5",http://www.rightmove.co.uk/properties/85416789#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Aberdein-Considine/Shawlands-89173.html,G5,,2.0,2022-06-29 07:22:53.795003
923,149000.0,1 bedroom flat for sale,"Greenwood Grove West, Stewarton Road, Newton Mearns, East Renfrewshire, G77",http://www.rightmove.co.uk/properties/121206059#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Slater-Hogg-and-Howison/Clarkston-Glasgow-4849.html,G77,,1.0,2022-06-29 07:22:53.795003
924,149000.0,1 bedroom flat for sale,"Argyle Street, Flat 3/3, Finnieston, Glasgow, G3 8LZ",http://www.rightmove.co.uk/properties/124105118#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Clyde-Property/Westend-28232.html,G3,G3 8LZ,1.0,2022-06-29 07:22:53.795003
925,260000.0,2 bedroom flat for sale,"Templeton Court, Glasgow, G40",http://www.rightmove.co.uk/properties/96625201#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Countrywide/Glasgow-City-Living-6619.html,G40,,2.0,2022-06-29 07:22:53.795003
926,149000.0,2 bedroom flat for sale,"Kings Drive, Newton Mearns, Glasgow, G77",http://www.rightmove.co.uk/properties/124251281#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Corum/Newton-Mearns-44445.html,G77,,2.0,2022-06-29 07:22:53.795003
927,149000.0,2 bedroom flat for sale,"Maryhill Road, Maryhill",http://www.rightmove.co.uk/properties/124177328#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Martin-and-Co/Glasgow-West-End-207407.html,,,2.0,2022-06-29 07:22:53.795003
928,149000.0,1 bedroom flat for sale,Flat 1/2 65 Munro Place Anniesland Glasgow G13 2BF,http://www.rightmove.co.uk/properties/123317987#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Ruthven-Keenan-Pollock-and-Co/Anniesland-75921.html,G13,G13 2BF,1.0,2022-06-29 07:22:53.795003
